fac_item_number,item_ssic,facility_code,creation_date,process_status,error_message,request_id
250490240,0000490240,250,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
252946852,0000946852,252,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
252785314,0000785314,252,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
252441466,0000441466,252,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
252535847,0000535847,252,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
252941342,0000941342,252,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
30329901,0000029901,303,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
25133391,0000033391,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
25133108,0000033108,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
251578271,0000578271,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
251578222,0000578222,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
251618439,0000618439,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305376830,0000376830,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305367627,0000367627,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305254554,0000254554,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305338732,0000338732,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305247770,0000247770,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305124275,0000124275,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305139961,0000139961,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305128502,0000128502,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305271728,0000271728,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305264205,0000264205,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305251179,0000251179,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904196594,0000196594,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904739227,0000739227,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904150444,0000150444,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
90437985,0000037985,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904145776,0000145776,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904742701,0000742701,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904742703,0000742703,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904575052,0000575052,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904615272,0000615272,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904669753,0000669753,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905775510,0000775510,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905689274,0000689274,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905874735,0000874735,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
250299963,0000299963,250,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
252509678,0000509678,252,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
303203285,0000203285,303,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
30312302,0000012302,303,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
30329905,0000029905,303,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
303386218,0000386218,303,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
251605187,0000605187,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
251690039,0000690039,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
251360596,0000360596,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
25133387,0000033387,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
251789373,0000789373,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305367630,0000367630,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
